timestamp,open,high,low,close,volume
2019-02-25,198.0000,201.5000,197.7139,198.6500,3016050
2019-02-22,196.6000,197.7500,195.2000,196.0000,2626634
2019-02-21,198.9700,199.4500,195.0500,196.3600,2786021
2019-02-20,198.7300,199.3000,197.5100,198.6000,2265991
2019-02-19,196.6600,199.0600,195.6100,198.6700,2558186
2019-02-15,193.2100,198.8899,193.1000,198.5000,3065444
2019-02-14,192.2100,194.1300,189.4400,192.5300,2864952
2019-02-13,195.9200,198.7800,194.6000,194.6900,2757343
2019-02-12,193.0500,195.6500,193.0000,194.4900,2392931
2019-02-11,192.8800,193.3200,191.0700,191.3300,2056684
2019-02-08,191.7200,192.6200,188.2158,191.6700,2757596
2019-02-07,195.2800,195.8800,191.0500,193.0700,2948750
2019-02-06,197.1800,199.0600,195.8300,196.6200,2063097
2019-02-05,198.1200,199.3250,196.8600,198.0100,2601036
2019-02-04,195.8000,197.7600,194.7860,197.7200,2400169
2019-02-01,198.0000,199.6400,196.5400,196.5400,3174301
2019-01-31,200.1000,202.3500,196.9500,198.0100,5604546
2019-01-30,200.9000,203.2900,199.6500,202.4800,2773366
2019-01-29,199.0000,201.9700,197.8700,200.5000,2694125
2019-01-28,197.9900,200.0700,197.1000,199.7200,2369554
2019-01-25,199.8300,201.1900,199.4200,200.7400,3275461
2019-01-24,196.2200,199.6800,195.7600,197.8000,2632011
2019-01-23,197.5500,198.0900,194.5300,196.9000,3410681
2019-01-22,200.5000,201.4700,195.9200,197.6800,4648472
2019-01-18,200.3800,203.0000,196.9100,202.5400,5650934
2019-01-17,195.9500,199.8000,192.8300,199.0900,8176998
2019-01-16,187.0000,198.1500,185.6000,197.0800,15194227
2019-01-15,178.3200,179.9900,176.4000,179.9100,2911802
2019-01-14,174.5200,179.5400,174.1000,178.7200,3361688
2019-01-11,175.1000,177.0400,172.4200,176.9300,3183036
2019-01-10,175.6600,178.0700,175.5000,176.0000,2808732
2019-01-09,176.1000,177.6900,174.9100,176.4700,3321697
2019-01-08,177.7800,178.0999,172.9000,175.3700,2692684
2019-01-07,175.2300,177.8250,172.2700,176.0200,3152092
2019-01-04,172.9900,176.0000,171.1000,175.0500,3788312
2019-01-03,170.6600,171.7700,168.2900,169.5100,4060393
2019-01-02,164.3300,172.2500,163.3500,172.0300,3999444
2018-12-31,163.7800,167.1200,163.7800,167.0500,4550009
2018-12-28,165.6400,165.9500,162.0200,163.0300,4110520
2018-12-27,160.1200,165.4100,159.0200,165.4100,4972964
2018-12-26,157.0000,163.1100,151.7000,162.9300,7054656
2018-12-24,159.0000,160.0000,154.3100,156.3500,3783497
2018-12-21,168.2500,169.6300,159.4200,160.0500,8960030
2018-12-20,168.3900,171.6500,167.1600,168.4100,6488177
2018-12-19,171.5900,174.8500,167.6000,169.2500,5316095
2018-12-18,169.7800,173.0200,169.3200,171.5000,5150789
2018-12-17,169.4000,171.4300,166.5300,168.0100,8395805
2018-12-14,174.3400,176.2600,172.3700,172.7700,5078341
2018-12-13,177.8300,178.6900,175.1200,175.9200,4008550
2018-12-12,178.5000,180.0000,176.4800,176.7000,3677292
2018-12-11,182.1500,184.4300,175.4500,176.8000,4713871
2018-12-10,178.6000,179.8400,174.6800,178.8300,4528341
2018-12-07,183.8500,186.2500,179.0000,179.6700,3921232
2018-12-06,181.3300,184.8800,180.1500,184.0900,5275511
2018-12-04,190.6900,191.1100,183.6300,184.3100,5797535
2018-12-03,194.0000,195.6600,191.6200,191.6300,4015619
2018-11-30,190.5700,191.4500,188.1200,190.6900,6219958
2018-11-29,196.0200,197.4500,193.1600,194.8500,2666117
2018-11-28,194.8400,198.4500,192.2300,198.3500,3762873
2018-11-27,193.4000,194.6200,191.5640,193.6500,2345380
2018-11-26,191.1700,195.2300,190.6900,194.3400,3143267
2018-11-23,191.6100,191.8700,188.9400,189.1000,1862633
2018-11-21,192.0900,195.2400,191.1900,192.6000,4111653
2018-11-20,195.1000,195.8900,190.3450,191.3400,5513841
2018-11-19,201.8300,202.3000,197.3500,198.2200,3419116
2018-11-16,202.9300,204.7442,200.3500,202.1200,2829572
2018-11-15,201.8000,204.5000,199.3200,203.7400,4260001
2018-11-14,206.2400,207.3400,198.4400,202.4900,5742451
2018-11-13,204.4000,209.5858,202.3300,205.0500,6984798
2018-11-12,222.0000,222.3100,205.1300,206.0500,11019357
2018-11-09,231.6900,231.6900,222.3000,222.6500,3721716
2018-11-08,231.0000,234.0600,230.6000,231.6500,2404854
2018-11-07,230.0500,232.7958,226.9025,231.2800,3514619
2018-11-06,228.1900,229.5200,227.0500,228.2000,2275807
2018-11-05,228.3200,231.0950,226.9500,228.7200,2565374
2018-11-02,230.0000,231.6900,226.2900,229.6900,3698981
2018-11-01,225.7600,228.8800,225.4700,226.9700,2557550
2018-10-31,221.8900,229.0000,221.4000,225.3700,4369633
2018-10-30,215.9900,220.3500,215.0400,219.2800,3897378
2018-10-29,214.1500,218.2100,212.0500,214.4900,3278258
2018-10-26,210.7300,214.8000,209.5275,212.3600,3558077
2018-10-25,211.2700,215.6900,210.3363,214.0100,3179707
2018-10-24,218.1400,218.9300,208.4000,209.1800,4152713
2018-10-23,216.5900,219.5236,214.3200,218.5600,3318168
2018-10-22,226.9300,228.8700,221.5200,221.6000,2736770
2018-10-19,225.2600,228.3000,224.1910,226.9600,2759105
2018-10-18,227.5000,228.7300,223.8601,224.9500,2995425
2018-10-17,220.5300,228.9000,220.0500,228.2800,4953723
2018-10-16,219.3500,222.0000,216.3005,221.7000,5924183
2018-10-15,214.4500,217.1400,213.0500,215.2200,3333750
2018-10-12,217.0000,217.9800,211.4600,213.8700,4161711
2018-10-11,214.2000,216.0300,210.9500,212.9700,6217366
2018-10-10,223.2400,223.6400,214.5600,214.8900,3955472
2018-10-09,224.9900,225.1200,222.5300,222.9100,1863236
2018-10-08,224.2600,226.9170,222.5000,225.3500,2523200
2018-10-05,228.0000,228.4100,224.2100,225.7100,1722697
2018-10-04,229.2600,231.4000,225.3900,227.4800,2903786
2018-10-03,227.7500,229.7700,226.5800,227.7800,2574210
2018-10-02,225.2800,226.3300,223.9700,226.0700,2272681
2018-10-01,226.2200,227.5900,225.0000,225.3300,2451341
